,ADDRESS,ADPARCEL_,ADPARCEL_I,ADR_ID,AD_STREET,AD_SUFFIX,ANGLE,AREA,CITY_ID,CODE,DATE_ENTER,LAT,LON,PERIMETER,POLYGONID,SCALE,SOURCE,STATUS,STREET,STREET_DIR,STREET_IDX,STREET_NAM,STREET_NO,SUFFIX_DIR,TILE_NAME,X_HPGN,Y_HPGN,ZIPCITY,ZIPCODE,geometry,SequenceNum,SaleDate,SalePrice,PropertyType,IntendedUse,Deed,Financing,ValidationDescription,BuyerSellerRelated,Solar,PersonalProperty,PartialInterest,RecordingDate
111021400,3101 E OASIS DE PALMERAS,121128.0,278429.0,277675.0,OASIS DE PALMERAS,,0.0,0.0,TUC,0.0,2000-02-19,32.27842113,-110.926648869,0.0,121128.0,1.0,PC DSD GIS,P,E OASIS DE PALMERAS,E,OASIS,OASIS DE PALMERAS,3101.0,,E131428,1005967.0,466430.0,TUCSON,85716,POINT (-110.9266488690483 32.27842113004964),20151280573,201505,160000,Condo/Townhouse,Rental,Warranty Deed,Other,Good Sale,No,No,No,No,2015-05-08
111021550,3109 E CORTE DE LA RAQUETA,121510.0,278044.0,277292.0,CORTE DE LA RAQUETA,,0.0,0.0,TUC,0.0,2000-02-19,32.2779462729,-110.926504585,0.0,121510.0,1.0,PC DSD GIS,P,E CORTE DE LA RAQUETA,E,CORTE,CORTE DE LA RAQUETA,3109.0,,E131428,1006013.0,466258.0,TUCSON,85716,POINT (-110.9265045851763 32.27794627296352),20151730754,201505,159000,Condo/Townhouse,Rental,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-06-22
111021680,3109 E CIRCULO DEL TENIS,121914.0,277632.0,276877.0,CIRCULO DEL TENIS,,0.0,0.0,TUC,0.0,2000-02-19,32.27746052,-110.926493483,0.0,121914.0,1.0,PC DSD GIS,P,E CIRCULO DEL TENIS,E,CIRCU,CIRCULO DEL TENIS,3109.0,,E131428,1006018.0,466081.0,TUCSON,85716,POINT (-110.9264934832139 32.27746052005487),20151420352,201504,120000,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-05-22
111022100,3912 N PASEO DE LAS CANCHAS,121455.0,278099.0,277345.0,PASEO DE LAS CANCHAS,,0.0,0.0,TUC,0.0,2000-02-19,32.2780139318,-110.925898601,0.0,121455.0,1.0,PC DSD GIS,P,N PASEO DE LAS CANCHAS,N,PASEO,PASEO DE LAS CANCHAS,3912.0,,E131428,1006200.0,466284.0,TUCSON,85716,POINT (-110.9258986013407 32.27801393190527),20153640165,201511,151000,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-30
111022140,3928 N PASEO DE LAS CANCHAS,121276.0,278280.0,277525.0,PASEO DE LAS CANCHAS,,0.0,0.0,TUC,0.0,2000-02-19,32.2782314909,-110.925918076,0.0,121276.0,1.0,PC DSD GIS,P,N PASEO DE LAS CANCHAS,N,PASEO,PASEO DE LAS CANCHAS,3928.0,,E131428,1006193.0,466364.0,TUCSON,85716,POINT (-110.9259180762078 32.27823149098802),20152580461,201508,178900,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-09-15
111022290,3984 N PASEO DE LAS CANCHAS,120490.0,279085.0,278329.0,PASEO DE LAS CANCHAS,,0.0,0.0,TUC,0.0,2000-02-19,32.2792039341,-110.926235108,0.0,120490.0,1.0,PC DSD GIS,P,N PASEO DE LAS CANCHAS,N,PASEO,PASEO DE LAS CANCHAS,3984.0,,E131428,1006092.0,466716.0,TUCSON,85716,POINT (-110.9262351078347 32.27920393420285),20151940219,201506,176000,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-07-13
111022950,3810 N BORG LN,123080.0,276454.0,275693.0,BORG,LN,0.0,0.0,TUC,0.0,2000-02-19,32.2761156302,-110.925520262,0.0,123080.0,1.0,PC DSD GIS,P,N BORG LN,N,BORG,BORG LN,3810.0,,E131428,1006323.0,465595.0,TUCSON,85716,POINT (-110.9255202615495 32.27611563030315),20151030526,201503,197000,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-04-13
111023020,3124 E MACENROE LN,122858.0,276677.0,275917.0,MACENROE,LN,0.0,0.0,TUC,0.0,2000-02-19,32.2763481462,-110.926329234,0.0,122858.0,1.0,PC DSD GIS,P,E MACENROE LN,E,MACEN,MACENROE LN,3124.0,,E131428,1006072.0,465677.0,TUCSON,85716,POINT (-110.9263292340522 32.27634814630483),20150360519,201502,1,Condo/Townhouse,Rental,Quit Claim Deed,Other,Buyer/Seller are related parties or corporate entities,Yes,No,No,No,2015-02-05
111023080,3123 E SAMPRAS LN,123093.0,276440.0,275681.0,SAMPRAS,LN,0.0,0.0,TUC,0.0,2000-02-19,32.2761095788,-110.926336477,0.0,123093.0,1.0,PC DSD GIS,P,E SAMPRAS LN,E,SAMPR,SAMPRAS LN,3123.0,,E131428,1006071.0,465590.0,TUCSON,85716,POINT (-110.9263364767006 32.27610957888566),20151490890,201505,217000,Condo/Townhouse,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-05-29
111030700,3127 E GREENLEE RD,127958.0,271479.0,270737.0,GREENLEE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2710134686,-110.925639433,0.0,127958.0,1.0,PC DSD GIS,P,E GREENLEE RD,E,GREEN,GREENLEE RD,3127.0,,E131428,1006303.0,463738.0,TUCSON,85716,POINT (-110.9256394331441 32.2710134686592),20151540098,201504,143000,Single Family,Rental,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-06-03
111030730,3147 E GREENLEE RD,127656.0,271792.0,270880.0,GREENLEE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2713077517,-110.925413821,0.0,127656.0,1.0,PC DSD GIS,S,E GREENLEE RD,E,GREEN,GREENLEE RD,3147.0,,E131428,1006372.0,463846.0,TUCSON,85716,POINT (-110.9254138214476 32.27130775174555),20151820390,201507,264500,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-07-01
111030730,3145 E GREENLEE RD,127970.0,271467.0,270363.0,GREENLEE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2709948894,-110.925182486,0.0,127970.0,1.0,PC DSD GIS,S,E GREENLEE RD,E,GREEN,GREENLEE RD,3145.0,,E131428,1006445.0,463733.0,TUCSON,85716,POINT (-110.9251824860579 32.27099488951333),20151820390,201507,264500,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-07-01
111030730,3139 E GREENLEE RD,127973.0,271464.0,270606.0,GREENLEE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2709948724,-110.92540744,0.0,127973.0,1.0,PC DSD GIS,P,E GREENLEE RD,E,GREEN,GREENLEE RD,3139.0,,E131428,1006375.0,463732.0,TUCSON,85716,POINT (-110.9254074401676 32.27099487245852),20151820390,201507,264500,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-07-01
111030730,3143 E GREENLEE RD,127974.0,271463.0,270469.0,GREENLEE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2709933187,-110.925287056,0.0,127974.0,1.0,PC DSD GIS,S,E GREENLEE RD,E,GREEN,GREENLEE RD,3143.0,,E131428,1006412.0,463732.0,TUCSON,85716,POINT (-110.9252870558538 32.27099331879901),20151820390,201507,264500,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-07-01
111030730,3137 E GREENLEE RD,128191.0,271241.0,271004.0,GREENLEE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2708025849,-110.925415583,0.0,128191.0,1.0,PC DSD GIS,P,E GREENLEE RD,E,GREEN,GREENLEE RD,3137.0,,E131428,1006373.0,463662.0,TUCSON,85716,POINT (-110.9254155833701 32.27080258494555),20151820390,201507,264500,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-07-01
111031310,3240 E HARDY PL,132410.0,266969.0,266239.0,HARDY,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2670691853,-110.923481389,0.0,132410.0,1.0,PC DSD GIS,P,E HARDY PL,E,HARDY,HARDY PL,3240.0,,E131428,1006984.0,462310.0,TUCSON,85716,POINT (-110.9234813892291 32.26706918535295),20151200790,201503,70000,Single Family,Rental,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-04-30
111031320,3241 E HARDY PL,132068.0,267313.0,266584.0,HARDY,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2674038094,-110.923466219,0.0,132068.0,1.0,PC DSD GIS,P,E HARDY PL,E,HARDY,HARDY PL,3241.0,,E131428,1006987.0,462431.0,TUCSON,85716,POINT (-110.9234662193827 32.26740380944959),20152320090,201508,55000,Single Family,Rental,Warranty Deed,Cash,Sale under duress,No,No,No,No,2015-08-20
111031320,3241 E HARDY PL,132068.0,267313.0,266584.0,HARDY,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2674038094,-110.923466219,0.0,132068.0,1.0,PC DSD GIS,P,E HARDY PL,E,HARDY,HARDY PL,3241.0,,E131428,1006987.0,462431.0,TUCSON,85716,POINT (-110.9234662193827 32.26740380944959),20153170381,201511,114000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-11-13
111031510,3337 N EDITH BL,132124.0,267257.0,266527.0,EDITH,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2673487004,-110.922935848,0.0,132124.0,1.0,PC DSD GIS,P,N EDITH BL,N,EDITH,EDITH BL,3337.0,,E131428,1007151.0,462413.0,TUCSON,85716,POINT (-110.9229358480991 32.26734870047887),20153090057,201509,475000,Single Family,PrimaryRes,Other,Cash,Good Sale,No,No,No,No,2015-11-05
11103156A,3344 N FLANWILL BL,131334.0,268053.0,267322.0,FLANWILL,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2679958235,-110.924789635,0.0,131334.0,1.0,PC DSD GIS,P,N FLANWILL BL,N,FLANW,FLANWILL BL,3344.0,,E131428,1006576.0,462643.0,TUCSON,85716,POINT (-110.9247896347457 32.26799582361777),20152400145,201508,105900,Single Family,NonPrimary,Warranty Deed,Cash,Unusable sale which does not fit any other reject codes,No,No,No,No,2015-08-28
11103164B,3362 N CARDI BL,131126.0,268264.0,267530.0,CARDI,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2681766291,-110.925718595,0.0,131126.0,1.0,PC DSD GIS,P,N CARDI BL,N,CARDI,CARDI BL,3362.0,,E131428,1006289.0,462706.0,TUCSON,85716,POINT (-110.9257185954375 32.26817662917991),20153570469,201511,167500,2-4 Plex,Rental,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-23
11103164B,3364 N CARDI BL,131138.0,268252.0,267519.0,CARDI,BL,0.0,0.0,TUC,0.0,2000-02-19,32.268163291,-110.925989284,0.0,131138.0,1.0,PC DSD GIS,S,N CARDI BL,N,CARDI,CARDI BL,3364.0,,E131428,1006205.0,462700.0,TUCSON,85716,POINT (-110.9259892836676 32.2681632911126),20153570469,201511,167500,2-4 Plex,Rental,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-23
11103164B,3368 N CARDI BL,131226.0,268161.0,267429.0,CARDI,BL,0.0,0.0,TUC,0.0,2000-02-19,32.268088097,-110.925985046,0.0,131226.0,1.0,PC DSD GIS,S,N CARDI BL,N,CARDI,CARDI BL,3368.0,,E131428,1006206.0,462673.0,TUCSON,85716,POINT (-110.9259850462618 32.26808809708552),20153570469,201511,167500,2-4 Plex,Rental,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-23
11103164B,3366 N CARDI BL,131234.0,268154.0,267422.0,CARDI,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2680832644,-110.925741246,0.0,131234.0,1.0,PC DSD GIS,S,N CARDI BL,N,CARDI,CARDI BL,3366.0,,E131428,1006282.0,462672.0,TUCSON,85716,POINT (-110.9257412460939 32.26808326443344),20153570469,201511,167500,2-4 Plex,Rental,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-23
11103196B,3239 N FLANWILL BL,133609.0,265757.0,265033.0,FLANWILL,BL,0.0,0.0,TUC,0.0,2005-07-01,32.2660233139,-110.925495928,0.0,133609.0,1.0,PC DSD GIS,P,N FLANWILL BL,N,FLANW,FLANWILL BL,3239.0,,E131428,1006365.0,461923.0,TUCSON,85716,POINT (-110.9254959276343 32.26602331395016),20150650311,201503,174000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-06
111040620,3322 N RICHEY BL,132591.0,266784.0,266060.0,RICHEY,BL,0.0,0.0,PC,0.0,2000-02-19,32.2668565783,-110.915591969,0.0,132591.0,1.0,PC DSD GIS,P,N RICHEY BL,N,RICHE,RICHEY BL,3322.0,,E131428,1009423.0,462255.0,TUCSON,85716,POINT (-110.9155919687595 32.26685657835993),20160490108,201510,0,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale price missing,No,No,No,No,2016-02-18
111041390,3440 E LIND RD,132899.0,266476.0,265754.0,LIND,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2666122784,-110.918901973,0.0,132899.0,1.0,PC DSD GIS,P,E LIND RD,E,LIND,LIND RD,3440.0,,E131428,1008401.0,462157.0,TUCSON,85716,POINT (-110.9189019727728 32.26661227849505),20151800275,201506,64565,Mobile Home,Rental,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-06-29
11104156C,3402 E KLEINDALE RD,130692.0,268708.0,267973.0,KLEINDALE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2684673823,-110.920007927,0.0,130692.0,1.0,PC DSD GIS,P,E KLEINDALE RD,E,KLEIN,KLEINDALE RD,3402.0,,E131428,1008053.0,462828.0,TUCSON,85716,POINT (-110.9200079267467 32.26846738234379),20152570571,201509,145000,Commercial/Industrial,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-09-14
111041610,3320 N KELVIN BL,132005.0,267377.0,266649.0,KELVIN,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2674196571,-110.920004013,0.0,132005.0,1.0,PC DSD GIS,P,N KELVIN BL,N,KELVI,KELVIN BL,3320.0,,E131428,1008057.0,462447.0,TUCSON,85716,POINT (-110.9200040128201 32.26741965716422),20151000521,201502,89900,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-04-10
11104188G,3493 E LIND RD,132327.0,267052.0,266322.0,LIND,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2671206427,-110.918622027,0.0,132327.0,1.0,PC DSD GIS,P,E LIND RD,E,LIND,LIND RD,3493.0,,E131428,1008486.0,462342.0,TUCSON,85716,POINT (-110.9186220274591 32.26712064272721),20151210354,201505,750000,Apartment Building,Unknown,Warranty Deed,Cash,Sale under duress,No,No,No,No,2015-05-01
111041940,3346 N EDITH BL,131350.0,268037.0,267306.0,EDITH,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2679626292,-110.922185064,0.0,131350.0,1.0,PC DSD GIS,P,N EDITH BL,N,EDITH,EDITH BL,3346.0,,E131428,1007381.0,462638.0,TUCSON,85716,POINT (-110.9221850636185 32.26796262928463),20152180387,201508,122000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-08-06
11104211B,3540 E HARDY DR,132509.0,266867.0,266140.0,HARDY,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2669331206,-110.916850814,0.0,132509.0,1.0,PC DSD GIS,P,E HARDY DR,E,HARDY,HARDY DR,3540.0,,E131428,1009034.0,462279.0,TUCSON,85716,POINT (-110.9168508141829 32.26693312068829),20160490108,201510,0,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale price missing,No,No,No,No,2016-02-18
111042140,3560 E HARDY DR,132091.0,267290.0,266560.0,HARDY,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2673266234,-110.916168127,0.0,132091.0,1.0,PC DSD GIS,P,E HARDY DR,E,HARDY,HARDY DR,3560.0,,E131428,1009243.0,462424.0,TUCSON,85716,POINT (-110.9161681265588 32.26732662350348),20160490108,201510,0,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale price missing,No,No,No,No,2016-02-18
111042150,3319 N RICHEY BL,132375.0,267004.0,266273.0,RICHEY,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2670451234,-110.916361685,0.0,132375.0,1.0,PC DSD GIS,P,N RICHEY BL,N,RICHE,RICHEY BL,3319.0,,E131428,1009185.0,462321.0,TUCSON,85716,POINT (-110.9163616851152 32.2670451235192),20160490108,201510,0,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale price missing,No,No,No,No,2016-02-18
111042160,3307 N RICHEY BL,132778.0,266596.0,265872.0,RICHEY,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2666947058,-110.91635643,0.0,132778.0,1.0,PC DSD GIS,P,N RICHEY BL,N,RICHE,RICHEY BL,3307.0,,E131428,1009187.0,462194.0,TUCSON,85716,POINT (-110.9163564301856 32.26669470587787),20160490108,201510,0,Commercial/Industrial,Unknown,Warranty Deed,Other,Sale price missing,No,No,No,No,2016-02-18
111042450,3301 E NAVAJO PL,133770.0,265595.0,264872.0,NAVAJO,PL,0.0,0.0,TUC,0.0,2000-02-19,32.265870411,-110.922282493,0.0,133770.0,1.0,PC DSD GIS,P,E NAVAJO PL,E,NAVAJ,NAVAJO PL,3301.0,,E131428,1007358.0,461877.0,TUCSON,85716,POINT (-110.922282492774 32.26587041109164),20151130111,201504,95000,Condo/Townhouse,Rental,Warranty Deed,Cash,Good Sale,No,No,No,No,2015-04-23
111042660,3311 E FARR PL,133148.0,266226.0,265502.0,FARR,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2664174602,-110.922114568,0.0,133148.0,1.0,PC DSD GIS,P,E FARR PL,E,FARR,FARR PL,3311.0,,E131428,1007408.0,462076.0,TUCSON,85716,POINT (-110.9221145684819 32.26641746028722),20153170397,201510,58000,Condo/Townhouse,Rental,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-11-13
11105109B,3132 E PRESIDIO RD,137166.0,262142.0,261425.0,PRESIDIO,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2630232692,-110.92554269,0.0,137166.0,1.0,PC DSD GIS,S,E PRESIDIO RD,E,PRESI,PRESIDIO RD,3132.0,,E131433,1006360.0,460832.0,TUCSON,85716,POINT (-110.9255426902554 32.26302326926161),20150710318,201503,157000,2-4 Plex,Rental,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-03-12
11105109B,3130 E PRESIDIO RD,137245.0,262062.0,261345.0,PRESIDIO,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2629627303,-110.925413745,0.0,137245.0,1.0,PC DSD GIS,P,E PRESIDIO RD,E,PRESI,PRESIDIO RD,3130.0,,E131433,1006400.0,460810.0,TUCSON,85716,POINT (-110.9254137450654 32.26296273041249),20150710318,201503,157000,2-4 Plex,Rental,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-03-12
11105177M,3504 E PRESIDIO RD,137076.0,262234.0,261515.0,PRESIDIO,RD,0.0,0.0,TUC,0.0,2007-02-14,32.2630249684,-110.917895913,0.0,137076.0,1.0,PC DSD GIS,P,E PRESIDIO RD,E,PRESI,PRESIDIO RD,3504.0,,E131433,1008724.0,460854.0,TUCSON,85716,POINT (-110.9178959126258 32.26302496845264),20150650255,201501,201000,2-4 Plex,Rental,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-06
11105177M,3506 E PRESIDIO RD,137207.0,262100.0,261383.0,PRESIDIO,RD,0.0,0.0,TUC,0.0,2007-02-14,32.2629314002,-110.917903609,0.0,137207.0,1.0,PC DSD GIS,S,E PRESIDIO RD,E,PRESI,PRESIDIO RD,3506.0,,E131433,1008722.0,460820.0,TUCSON,85716,POINT (-110.917903609105 32.26293140029692),20150650255,201501,201000,2-4 Plex,Rental,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-06
11105177M,3508 E PRESIDIO RD,137297.0,262010.0,261293.0,PRESIDIO,RD,0.0,0.0,TUC,0.0,2007-02-14,32.2628684606,-110.917949993,0.0,137297.0,1.0,PC DSD GIS,S,E PRESIDIO RD,E,PRESI,PRESIDIO RD,3508.0,,E131433,1008708.0,460797.0,TUCSON,85716,POINT (-110.9179499928869 32.26286846062737),20150650255,201501,201000,2-4 Plex,Rental,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-06
111052180,3008 N DICKSON DR,138747.0,260546.0,259844.0,DICKSON,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2617989557,-110.915173772,0.0,138747.0,1.0,PC DSD GIS,P,N DICKSON DR,N,DICKS,DICKSON DR,3008.0,,E131433,1009570.0,460416.0,TUCSON,85716,POINT (-110.9151737719848 32.26179895577942),20151490073,201505,80000,Single Family,PrimaryRes,Warranty Deed,Cash,Good Sale,No,No,No,No,2015-05-29
11105239A,3709 E BLACKLIDGE DR,137988.0,261313.0,260606.0,BLACKLIDGE,DR,0.0,0.0,TUC,0.0,2011-03-30,32.2622913001,-110.913363446,0.0,137988.0,1.0,PC DSD GIS,P,E BLACKLIDGE DR,E,BLACK,BLACKLIDGE DR,3709.0,,E131433,1010128.0,460600.0,TUCSON,85716,POINT (-110.9133634464134 32.26229130020217),20150790566,201502,244000,Apartment Building,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-20
11105239A,3707 E BLACKLIDGE DR,138061.0,261237.0,260530.0,BLACKLIDGE,DR,0.0,0.0,TUC,0.0,2011-03-30,32.2622436959,-110.913577682,0.0,138061.0,1.0,PC DSD GIS,U,E BLACKLIDGE DR,E,BLACK,BLACKLIDGE DR,3707.0,,E131433,1010061.0,460583.0,TUCSON,85716,POINT (-110.9135776815868 32.26224369596477),20150790566,201502,244000,Apartment Building,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-20
11105239A,3711 E BLACKLIDGE DR,138137.0,261160.0,260452.0,BLACKLIDGE,DR,0.0,0.0,TUC,0.0,2011-03-30,32.2621923809,-110.913357054,0.0,138137.0,1.0,PC DSD GIS,P,E BLACKLIDGE DR,E,BLACK,BLACKLIDGE DR,3711.0,,E131433,1010130.0,460565.0,TUCSON,85716,POINT (-110.9133570543588 32.26219238092563),20150790566,201502,244000,Apartment Building,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-20
11105239A,3705 E BLACKLIDGE DR,138235.0,261062.0,260354.0,BLACKLIDGE,DR,0.0,0.0,TUC,0.0,2011-03-30,32.2621355192,-110.913584533,0.0,138235.0,1.0,PC DSD GIS,P,E BLACKLIDGE DR,E,BLACK,BLACKLIDGE DR,3705.0,,E131433,1010060.0,460543.0,TUCSON,85716,POINT (-110.9135845326923 32.26213551923774),20150790566,201502,244000,Apartment Building,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-20
11105239A,3713 E BLACKLIDGE DR,138295.0,261002.0,260293.0,BLACKLIDGE,DR,0.0,0.0,TUC,0.0,2011-03-30,32.2620899906,-110.913346251,0.0,138295.0,1.0,PC DSD GIS,P,E BLACKLIDGE DR,E,BLACK,BLACKLIDGE DR,3713.0,,E131433,1010134.0,460527.0,TUCSON,85716,POINT (-110.9133462513505 32.26208999070146),20150790566,201502,244000,Apartment Building,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-20
11105239A,3703 E BLACKLIDGE DR,138374.0,260922.0,260217.0,BLACKLIDGE,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2620355815,-110.913590484,0.0,138374.0,1.0,PC DSD GIS,P,E BLACKLIDGE DR,E,BLACK,BLACKLIDGE DR,3703.0,,E131433,1010058.0,460507.0,TUCSON,85716,POINT (-110.9135904844106 32.26203558154793),20150790566,201502,244000,Apartment Building,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-20
11105242A,3025 N WINSTEL BL,138046.0,261252.0,260545.0,WINSTEL,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2622460085,-110.912495757,0.0,138046.0,1.0,PC DSD GIS,P,N WINSTEL BL,N,WINST,WINSTEL BL,3025.0,,E131433,1010396.0,460587.0,TUCSON,85716,POINT (-110.9124957568405 32.26224600858365),20151760097,201506,225000,Commercial/Industrial,Unknown,Warranty Deed,Other,Buyer/Seller are related parties or corporate entities,Yes,No,No,No,2015-06-25
11105245A,3061 N ALVERNON WY,137106.0,262202.0,261484.0,ALVERNON,WY,0.0,0.0,TUC,0.0,2000-02-19,32.262945637,-110.910185134,0.0,137106.0,1.0,PC DSD GIS,P,N ALVERNON WY,N,ALVER,ALVERNON WY,3061.0,,E131433,1011108.0,460848.0,TUCSON,85712,POINT (-110.9101851339093 32.26294563704792),20151900193,201507,185000,Commercial/Industrial,Unknown,Warranty Deed,Cash,Good Sale,No,No,No,No,2015-07-09
11105261A,3003 N ALVERNON WY,138564.0,260732.0,260025.0,ALVERNON,WY,0.0,0.0,TUC,0.0,2000-02-19,32.2618735493,-110.910174524,0.0,138564.0,1.0,PC DSD GIS,P,N ALVERNON WY,N,ALVER,ALVERNON WY,3003.0,,E131433,1011115.0,460458.0,TUCSON,85712,POINT (-110.9101745242831 32.26187354941343),20151400424,201505,1400000,Apartment Building,Unknown,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-05-20
111053030,3077 N SPARKMAN BL,137582.0,261720.0,261006.0,SPARKMAN,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2626544343,-110.921458266,0.0,137582.0,1.0,PC DSD GIS,P,N SPARKMAN BL,N,SPARK,SPARKMAN BL,3077.0,,E131433,1007624.0,460709.0,TUCSON,85716,POINT (-110.921458265737 32.26265443439346),20151900613,201506,105000,Condo/Townhouse,NonPrimary,Warranty Deed,Other,Good Sale,No,No,No,No,2015-07-09
111053250,3033 N SPARKMAN BL,138561.0,260735.0,260028.0,SPARKMAN,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2619648962,-110.921595392,0.0,138561.0,1.0,PC DSD GIS,P,N SPARKMAN BL,N,SPARK,SPARKMAN BL,3033.0,,E131433,1007584.0,460458.0,TUCSON,85716,POINT (-110.9215953924437 32.26196489631534),20151390470,201504,107000,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-05-19
111053280,3027 N SPARKMAN BL,138400.0,260897.0,260192.0,SPARKMAN,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2620800186,-110.92121625,0.0,138400.0,1.0,PC DSD GIS,P,N SPARKMAN BL,N,SPARK,SPARKMAN BL,3027.0,,E131433,1007701.0,460501.0,TUCSON,85716,POINT (-110.9212162498643 32.2620800186337),20153000553,201510,107000,Condo/Townhouse,NonPrimary,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-10-27
111053490,3302 E DELMA DR,136616.0,262694.0,261973.0,DELMA,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2634043934,-110.922514404,0.0,136616.0,1.0,PC DSD GIS,P,E DELMA DR,E,DELMA,DELMA DR,3302.0,,E131433,1007295.0,460979.0,TUCSON,85716,POINT (-110.9225144043868 32.26340439352285),20160290091,201512,101000,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2016-01-29
