,ADDRESS,ADPARCEL_,ADPARCEL_I,ADR_ID,AD_STREET,AD_SUFFIX,ANGLE,AREA,CITY_ID,CODE,DATE_ENTER,LAT,LON,PERIMETER,POLYGONID,SCALE,SOURCE,STATUS,STREET,STREET_DIR,STREET_IDX,STREET_NAM,STREET_NO,SUFFIX_DIR,TILE_NAME,X_HPGN,Y_HPGN,ZIPCITY,ZIPCODE,geometry,SequenceNum,SaleDate,SalePrice,PropertyType,IntendedUse,Deed,Financing,ValidationDescription,BuyerSellerRelated,Solar,PersonalProperty,PartialInterest,RecordingDate,SchDistr,X_PRJ,Y_PRJ
112018150,2960 E PLACITA ALDEA LINDA,124858.0,274647.0,273892.0,PLACITA ALDEA LINDA,,0.0,0.0,TUC,0.0,2007-07-12,32.2742698487,-110.928686772,0.0,124858.0,1.0,PC DSD GIS,P,E PLACITA ALDEA LINDA,E,PLACI,PLACITA ALDEA LINDA,2960.0,,E131429,1005351.0,464914.0,TUCSON,85716,POINT (805557.4219690851 464873.0216123963),20151310280,201505,115000,Vacant Land,Unknown,Warranty Deed,Cash,Good Sale,No,No,No,No,2015-05-11,Tucson Unified District,805557.4219690851,464873.0216123963
112021040,3625 N WILSON AV,126252.0,273226.0,272475.0,WILSON,AV,0.0,0.0,TUC,0.0,2000-02-19,32.2729085946,-110.939768709,0.0,126252.0,1.0,PC DSD GIS,P,N WILSON AV,N,WILSO,WILSON AV,3625.0,,E131429,1001930.0,464388.0,TUCSON,85719,POINT (802136.7725232631 464346.4283198561),20150710333,201502,220000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-03-12,Tucson Unified District,802136.7725232631,464346.42831985606
112021050,3626 N KAPOK LN,126217.0,273262.0,272511.0,KAPOK,LN,0.0,0.0,TUC,0.0,2000-02-19,32.2729274273,-110.938739255,0.0,126217.0,1.0,PC DSD GIS,P,N KAPOK LN,N,KAPOK,KAPOK LN,3626.0,,E131429,1002248.0,464398.0,TUCSON,85719,POINT (802454.8924199681 464356.1791817204),20152540254,201508,265000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-09-11,Tucson Unified District,802454.8924199681,464356.1791817204
112021240,3644 N ROYAL PRINCE CT,126278.0,273200.0,272449.0,ROYAL PRINCE,CT,0.0,0.0,TUC,0.0,2000-02-19,32.2728892251,-110.94019639,0.0,126278.0,1.0,PC DSD GIS,P,N ROYAL PRINCE CT,N,ROYAL,ROYAL PRINCE CT,3644.0,,E131429,1001798.0,464380.0,TUCSON,85719,POINT (802004.6494785307 464338.1780555404),20152120152,201507,246000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-07-31,Tucson Unified District,802004.6494785307,464338.17805554037
112021250,3652 N ROYAL PRINCE CT,126137.0,273344.0,272594.0,ROYAL PRINCE,CT,0.0,0.0,TUC,0.0,2000-02-19,32.2730263727,-110.94018117,0.0,126137.0,1.0,PC DSD GIS,P,N ROYAL PRINCE CT,N,ROYAL,ROYAL PRINCE CT,3652.0,,E131429,1001802.0,464429.0,TUCSON,85719,POINT (802008.9013591619 464388.1146171174),20160430468,201512,245500,Single Family,NonPrimary,Warranty Deed,Other,Good Sale,No,No,No,No,2016-02-12,Tucson Unified District,802008.901359162,464388.11461711745
112021410,3633 N SUNTERRA CT,126171.0,273309.0,272559.0,SUNTERRA,CT,0.0,0.0,TUC,0.0,2000-02-19,32.272969587,-110.937085729,0.0,126171.0,1.0,PC DSD GIS,P,N SUNTERRA CT,N,SUNTE,SUNTERRA CT,3633.0,,E131429,1002759.0,464418.0,TUCSON,85719,POINT (802965.8220585263 464376.180465823),20153020114,201509,250000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-10-29,Tucson Unified District,802965.8220585263,464376.180465823
112021550,3638 N SUNTERRA CT,126092.0,273390.0,272638.0,SUNTERRA,CT,0.0,0.0,TUC,0.0,2000-02-19,32.2730464712,-110.936654598,0.0,126092.0,1.0,PC DSD GIS,P,N SUNTERRA CT,N,SUNTE,SUNTERRA CT,3638.0,,E131429,1002892.0,464447.0,TUCSON,85719,POINT (803098.8209103717 464405.3679215717),20153010558,201510,249900,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-10-28,Tucson Unified District,803098.8209103717,464405.3679215717
112021610,2462 E MOONRISE PL,126522.0,272953.0,272207.0,MOONRISE,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2725936146,-110.935835462,0.0,126522.0,1.0,PC DSD GIS,P,E MOONRISE PL,E,MOONR,MOONRISE PL,2462.0,,E131429,1003147.0,464284.0,TUCSON,85719,POINT (803353.4974800696 464242.934800134),20151560495,201504,214000,Single Family,Rental,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-06-05,Tucson Unified District,803353.4974800696,464242.93480013404
112030260,2541 E KLEINDALE RD,129808.0,269603.0,268865.0,KLEINDALE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2693552732,-110.933692986,0.0,129808.0,1.0,PC DSD GIS,P,E KLEINDALE RD,E,KLEIN,KLEINDALE RD,2541.0,,E131429,1003820.0,463112.0,TUCSON,85716,POINT (804026.4397904977 463070.9014890444),20150700063,201503,375000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-11,Tucson Unified District,804026.4397904977,463070.90148904437
112030340,3502 N FORGEUS AV,128460.0,270971.0,270230.0,FORGEUS,AV,0.0,0.0,TUC,0.0,2000-02-19,32.2705892575,-110.93246564,0.0,128460.0,1.0,PC DSD GIS,P,N FORGEUS AV,N,FORGE,FORGEUS AV,3502.0,,E131429,1004195.0,463565.0,TUCSON,85716,POINT (804401.7010759005 463523.2986859523),20153020368,201510,265000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller are related parties or corporate entities,Yes,No,No,No,2015-10-29,Tucson Unified District,804401.7010759005,463523.29868595226
112030350,3434 N FORGEUS AV,128736.0,270693.0,269953.0,FORGEUS,AV,0.0,0.0,TUC,0.0,2000-02-19,32.2703314307,-110.932459526,0.0,128736.0,1.0,PC DSD GIS,P,N FORGEUS AV,N,FORGE,FORGEUS AV,3434.0,,E131429,1004198.0,463471.0,TUCSON,85716,POINT (804404.447338201 463429.5196734362),20153290428,201511,275000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-11-25,Tucson Unified District,804404.447338201,463429.5196734362
112030580,3417 N TREAT AV,129245.0,270176.0,269436.0,TREAT,AV,0.0,0.0,TUC,0.0,2000-02-19,32.2698328751,-110.931280197,0.0,129245.0,1.0,PC DSD GIS,P,N TREAT AV,N,TREAT,TREAT AV,3417.0,,E131429,1004564.0,463293.0,TUCSON,85716,POINT (804770.6216444955 463251.4939109203),20152790312,201508,278800,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-10-06,Tucson Unified District,804770.6216444955,463251.4939109203
112030730,2933 E RICHARDS ROW,128791.0,270638.0,269898.0,RICHARDS ROW,,0.0,0.0,TUC,0.0,2000-02-19,32.2702485445,-110.928543922,0.0,128791.0,1.0,PC DSD GIS,P,E RICHARDS ROW,E,RICHA,RICHARDS ROW,2933.0,,E131429,1005408.0,463452.0,TUCSON,85716,POINT (805614.988268967 463410.4933055423),20150860145,201502,275000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-03-27,Tucson Unified District,805614.988268967,463410.49330554233
112031040,2901 E KLEINDALE RD,129767.0,269644.0,268906.0,KLEINDALE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2693547915,-110.929534291,0.0,129767.0,1.0,PC DSD GIS,P,E KLEINDALE RD,E,KLEIN,KLEINDALE RD,2901.0,,E131429,1005105.0,463124.0,TUCSON,85716,POINT (805311.8555916614 463082.5309474306),20150440498,201502,147000,Single Family,Rental,Joint Tenancy Deed,Cash,Sale under duress,No,No,No,No,2015-02-13,Tucson Unified District,805311.8555916614,463082.53094743064
112031040,2901 E KLEINDALE RD,129767.0,269644.0,268906.0,KLEINDALE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2693547915,-110.929534291,0.0,129767.0,1.0,PC DSD GIS,P,E KLEINDALE RD,E,KLEIN,KLEINDALE RD,2901.0,,E131429,1005105.0,463124.0,TUCSON,85716,POINT (805311.8555916614 463082.5309474306),20153010268,201509,270000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-10-28,Tucson Unified District,805311.8555916614,463082.53094743064
112031210,3001 E HARDY PL,132073.0,267308.0,266578.0,HARDY,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2674357667,-110.928032111,0.0,132073.0,1.0,PC DSD GIS,P,E HARDY PL,E,HARDY,HARDY PL,3001.0,,E131429,1005576.0,462430.0,TUCSON,85716,POINT (805782.5700260628 462388.6737583446),20151190454,201503,258000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-04-29,Tucson Unified District,805782.5700260628,462388.67375834455
112031490,2904 E KLEINDALE RD,130303.0,269102.0,268365.0,KLEINDALE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.268875644,-110.929456172,0.0,130303.0,1.0,PC DSD GIS,P,E KLEINDALE RD,E,KLEIN,KLEINDALE RD,2904.0,,E131429,1005131.0,462950.0,TUCSON,85716,POINT (805337.598279338 462908.4412279472),20152300192,201508,23500,Single Family,PrimaryRes,Warranty Deed,Cash,Sale under duress,No,No,No,No,2015-08-18,Tucson Unified District,805337.598279338,462908.4412279472
112031910,2610 E KLEINDALE RD,130481.0,268921.0,268184.0,KLEINDALE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2687371409,-110.932092555,0.0,130481.0,1.0,PC DSD GIS,P,E KLEINDALE RD,E,KLEIN,KLEINDALE RD,2610.0,,E131429,1004316.0,462892.0,TUCSON,85716,POINT (804523.1724924791 462850.564529956),20152160109,201506,235000,Single Family,PrimaryRes,Joint Tenancy Deed,Other,Good Sale,No,No,No,No,2015-08-04,Tucson Unified District,804523.1724924791,462850.564529956
112032280,2564 E KLEINDALE RD,130411.0,268993.0,268256.0,KLEINDALE,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2688051531,-110.933049243,0.0,130411.0,1.0,PC DSD GIS,P,E KLEINDALE RD,E,KLEIN,KLEINDALE RD,2564.0,,E131429,1004021.0,462914.0,TUCSON,85716,POINT (804227.241167685 462872.5940928556),20152370516,201508,235000,Single Family,NonPrimary,Warranty Deed,Other,Good Sale,No,No,No,No,2015-08-25,Tucson Unified District,804227.241167685,462872.5940928556
112032300,3373 N FORGEUS AV,130771.0,268628.0,267894.0,FORGEUS,AV,0.0,0.0,TUC,0.0,2000-02-19,32.2685224511,-110.932827042,0.0,130771.0,1.0,PC DSD GIS,P,N FORGEUS AV,N,FORGE,FORGEUS AV,3373.0,,E131429,1004090.0,462812.0,TUCSON,85716,POINT (804296.8609363177 462770.3781841599),20151820343,201505,232000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-07-01,Tucson Unified District,804296.8609363177,462770.3781841599
112032490,3257 N TREAT CI,132734.0,266640.0,265915.0,TREAT,CI,0.0,0.0,TUC,0.0,2000-02-19,32.2668512867,-110.931931549,0.0,132734.0,1.0,PC DSD GIS,P,N TREAT CI,N,TREAT,TREAT CI,3257.0,,E131429,1004373.0,462206.0,TUCSON,85716,POINT (804579.2071921995 462164.9554513109),20151490303,201504,300000,Single Family,NonPrimary,Warranty Deed,Other,Good Sale,No,No,No,No,2015-05-29,Tucson Unified District,804579.2071921995,462164.9554513109
112032510,3245 N TREAT CI,133082.0,266292.0,265568.0,TREAT,CI,0.0,0.0,TUC,0.0,2000-02-19,32.2665563912,-110.931588978,0.0,133082.0,1.0,PC DSD GIS,P,N TREAT CI,N,TREAT,TREAT CI,3245.0,,E131429,1004479.0,462100.0,TUCSON,85716,POINT (804686.0761413885 462058.6459678512),20153490100,201511,260000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-12-15,Tucson Unified District,804686.0761413885,462058.6459678512
112033000,2531 E HALCYON RD,131434.0,267953.0,267222.0,HALCYON,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2679949724,-110.933966063,0.0,131434.0,1.0,PC DSD GIS,P,E HALCYON RD,E,HALCY,HALCYON RD,2531.0,,E131429,1003740.0,462617.0,TUCSON,85716,POINT (803946.5466947757 462575.256319423),20152540476,201509,168000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-09-11,Tucson Unified District,803946.5466947757,462575.256319423
112033090,2510 E HALCYON RD,132136.0,267245.0,266515.0,HALCYON,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2674352374,-110.934802322,0.0,132136.0,1.0,PC DSD GIS,P,E HALCYON RD,E,HALCY,HALCYON RD,2510.0,,E131429,1003483.0,462411.0,TUCSON,85716,POINT (803689.9180696589 462369.2600310654),20151120531,201504,163900,Single Family,NonPrimary,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-04-22,Tucson Unified District,803689.9180696589,462369.2600310654
112033270,3260 N ANDERSON DR,133024.0,266350.0,265626.0,ANDERSON,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2666166724,-110.932302687,0.0,133024.0,1.0,PC DSD GIS,P,N ANDERSON DR,N,ANDER,ANDERSON DR,3260.0,,E131429,1004259.0,462120.0,TUCSON,85716,POINT (804465.2681155194 462078.5508204963),20153410280,201510,185000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-07,Tucson Unified District,804465.2681155194,462078.5508204963
112033350,3212 N ANDERSON DR,134353.0,265004.0,264292.0,ANDERSON,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2654070433,-110.932410979,0.0,134353.0,1.0,PC DSD GIS,P,N ANDERSON DR,N,ANDER,ANDERSON DR,3212.0,,E131429,1004229.0,461679.0,TUCSON,85716,POINT (804435.8139633286 461638.1857849598),20150650270,201502,120000,Single Family,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-06,Tucson Unified District,804435.8139633286,461638.1857849598
112033510,3245 N PALMER DR,133651.0,265716.0,264991.0,PALMER,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2660560378,-110.933982108,0.0,133651.0,1.0,PC DSD GIS,P,N PALMER DR,N,PALME,PALMER DR,3245.0,,E131429,1003741.0,461911.0,TUCSON,85716,POINT (803948.0189394879 461869.8347327618),20150560433,201501,111900,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-02-25,Tucson Unified District,803948.0189394879,461869.8347327618
11203358B,3238 N TUCSON BL,133680.0,265686.0,264961.0,TUCSON,BL,0.0,0.0,TUC,0.0,2000-02-19,32.2660464548,-110.935014216,0.0,133680.0,1.0,PC DSD GIS,P,N TUCSON BL,N,TUCSO,TUCSON BL,3238.0,,E131429,1003422.0,461905.0,TUCSON,85716,POINT (803629.0242615946 461863.427456274),20151750328,201506,65000,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2015-06-24,Tucson Unified District,803629.0242615946,461863.42745627405
112033610,3566 N CHRISTMAS PL,127003.0,272462.0,271719.0,CHRISTMAS,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2720177506,-110.92993535,0.0,127003.0,1.0,PC DSD GIS,P,N CHRISTMAS PL,N,CHRIS,CHRISTMAS PL,3566.0,,E131429,1004972.0,464092.0,TUCSON,85716,POINT (805179.0210424524 464050.1643279421),20150370480,201501,188000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-02-06,Tucson Unified District,805179.0210424524,464050.16432794207
112033780,3523 N STEWART AV,127975.0,271462.0,270723.0,STEWART,AV,0.0,0.0,TUC,0.0,2000-02-19,32.2710238634,-110.929555244,0.0,127975.0,1.0,PC DSD GIS,P,N STEWART AV,N,STEWA,STEWART AV,3523.0,,E131429,1005093.0,463731.0,TUCSON,85716,POINT (805299.8170770714 463689.6730637833),20150630175,201501,165000,Single Family,PrimaryRes,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-03-04,Tucson Unified District,805299.8170770714,463689.6730637833
112033830,3566 N STEWART AV,127012.0,272453.0,271709.0,STEWART,AV,0.0,0.0,TUC,0.0,2000-02-19,32.2720032507,-110.929080369,0.0,127012.0,1.0,PC DSD GIS,P,N STEWART AV,N,STEWA,STEWART AV,3566.0,,E131429,1005237.0,464089.0,TUCSON,85716,POINT (805443.3286998186 464047.3214787034),20153200565,201510,170000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-11-16,Tucson Unified District,805443.3286998186,464047.3214787034
112033890,2850 E GREENLEE ST,128531.0,270900.0,270159.0,GREENLEE,ST,0.0,0.0,TUC,0.0,2001-02-28,32.2705073563,-110.929071298,0.0,128531.0,1.0,PC DSD GIS,P,E GREENLEE ST,E,GREEN,GREENLEE ST,2850.0,,E131429,1005244.0,463544.0,TUCSON,85716,POINT (805451.1197645381 463503.1467418236),20151050264,201502,195000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-04-15,Tucson Unified District,805451.1197645381,463503.14674182364
112033980,2518 E RICHARDS PL,129373.0,270047.0,269307.0,RICHARDS,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2697520291,-110.93450925,0.0,129373.0,1.0,PC DSD GIS,P,E RICHARDS PL,E,RICHA,RICHARDS PL,2518.0,,E131429,1003566.0,463254.0,TUCSON,85716,POINT (803772.8247745958 463212.9284946036),20151200807,201503,174000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-04-30,Tucson Unified District,803772.8247745958,463212.9284946036
112034030,2554 E RICHARDS PL,129297.0,270124.0,269384.0,RICHARDS,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2698022521,-110.933291443,0.0,129297.0,1.0,PC DSD GIS,P,E RICHARDS PL,E,RICHA,RICHARDS PL,2554.0,,E131429,1003942.0,463276.0,TUCSON,85716,POINT (804149.0691007454 463234.6482021968),20152430614,201508,225000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-08-31,Tucson Unified District,804149.0691007454,463234.64820219675
112034570,2949 E WINTERHAVEN DR,127025.0,272439.0,271695.0,WINTERHAVEN,DR,0.0,0.0,TUC,0.0,2000-02-19,32.271987954,-110.928662165,0.0,127025.0,1.0,PC DSD GIS,P,E WINTERHAVEN DR,E,WINTE,WINTERHAVEN DR,2949.0,,E131429,1005366.0,464084.0,TUCSON,85716,POINT (805572.6389570729 464042.9470287111),20150620308,201501,124000,Condo/Townhouse,NonPrimary,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-03-03,Tucson Unified District,805572.6389570729,464042.94702871115
112035100,3530 N BENTLEY AV,128172.0,271262.0,270521.0,BENTLEY,AV,0.0,0.0,TUC,0.0,2000-02-19,32.2708356189,-110.927584563,0.0,128172.0,1.0,PC DSD GIS,P,N BENTLEY AV,N,BENTL,BENTLEY AV,3530.0,,E131429,1005703.0,463668.0,TUCSON,85716,POINT (805909.5540394711 463626.8016856486),20150280285,201501,117000,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-01-28,Tucson Unified District,805909.5540394711,463626.8016856486
112035280,3051 E WINTERHAVEN DR,127261.0,272199.0,271454.0,WINTERHAVEN,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2717287588,-110.927340109,0.0,127261.0,1.0,PC DSD GIS,P,E WINTERHAVEN DR,E,WINTE,WINTERHAVEN DR,3051.0,,E131429,1005775.0,463994.0,TUCSON,85716,POINT (805982.1283063854 463952.4193845059),20152050626,201506,117000,Condo/Townhouse,NonPrimary,Warranty Deed,Other,Good Sale,No,No,No,No,2015-07-24,Tucson Unified District,805982.1283063854,463952.41938450595
112040400,2841 N WEST PLAZA DR,142896.0,256350.0,255683.0,WEST PLAZA,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2590183045,-110.93209215,0.0,142896.0,1.0,PC DSD GIS,P,N WEST PLAZA DR,N,WEST,WEST PLAZA DR,2841.0,,E131432,1004349.0,459356.0,TUCSON,85716,POINT (804555.5954049898 459314.8956675728),20151490873,201504,155000,Single Family,PrimaryRes,Warranty Deed,Other,Sale to or from a government agency,No,No,No,No,2015-05-29,Tucson Unified District,804555.5954049898,459314.8956675728
112041000,2533 E LA MADERA DR,140583.0,258690.0,258016.0,LA MADERA,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2606069342,-110.934015756,0.0,140583.0,1.0,PC DSD GIS,P,E LA MADERA DR,E,LA MA,LA MADERA DR,2533.0,,E131432,1003749.0,459929.0,TUCSON,85716,POINT (803955.6908708408 459887.3799355224),20151770147,201506,165000,Single Family,PrimaryRes,Warranty Deed,Cash,Sale to or from a government agency,No,No,No,No,2015-06-26,Tucson Unified District,803955.6908708408,459887.37993552245
112041140,2710 E LA CIENEGA DR,138690.0,260603.0,259901.0,LA CIENEGA,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2619662085,-110.931758056,0.0,138690.0,1.0,PC DSD GIS,P,E LA CIENEGA DR,E,LA CI,LA CIENEGA DR,2710.0,,E131432,1004442.0,460430.0,TUCSON,85716,POINT (804649.0733524066 460388.2776359437),20152660315,201509,255000,Single Family,Rental,Warranty Deed,Cash,Good Sale,No,No,No,No,2015-09-23,Tucson Unified District,804649.0733524066,460388.27763594367
112041220,2542 E LA CIENEGA DR,138630.0,260663.0,259963.0,LA CIENEGA,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2620115749,-110.933755571,0.0,138630.0,1.0,PC DSD GIS,P,E LA CIENEGA DR,E,LA CI,LA CIENEGA DR,2542.0,,E131432,1003825.0,460440.0,TUCSON,85716,POINT (804031.4596548468 460399.118596298),20160270325,201512,185500,Single Family,Rental,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2016-01-27,Tucson Unified District,804031.4596548468,460399.118596298
112041250,2518 E LA CIENEGA DR,138656.0,260637.0,259936.0,LA CIENEGA,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2620056786,-110.934488358,0.0,138656.0,1.0,PC DSD GIS,P,E LA CIENEGA DR,E,LA CI,LA CIENEGA DR,2518.0,,E131432,1003598.0,460436.0,TUCSON,85716,POINT (803804.9634771484 460394.8988986408),20150710448,201502,194500,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-03-12,Tucson Unified District,803804.9634771484,460394.8988986408
112041380,2617 E BLACKLIDGE DR,139167.0,260120.0,259429.0,BLACKLIDGE,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2616012127,-110.932505433,0.0,139167.0,1.0,PC DSD GIS,P,E BLACKLIDGE DR,E,BLACK,BLACKLIDGE DR,2617.0,,E131432,1004213.0,460295.0,TUCSON,85716,POINT (804419.2597543576 460253.373578658),20151890455,201506,101000,Single Family,PrimaryRes,Warranty Deed,Cash,Sale under duress,No,No,No,No,2015-07-08,Tucson Unified District,804419.2597543576,460253.373578658
112041560,2520 E HEDRICK DR,137452.0,261854.0,261137.0,HEDRICK,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2628750136,-110.934240413,0.0,137452.0,1.0,PC DSD GIS,P,E HEDRICK DR,E,HEDRI,HEDRICK DR,2520.0,,E131432,1003672.0,460753.0,TUCSON,85716,POINT (803878.724636729 460711.8608266356),20152390584,201507,165000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-08-27,Tucson Unified District,803878.724636729,460711.86082663556
112041810,2550 E BLANTON DR,136248.0,263068.0,262348.0,BLANTON,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2637731555,-110.933532978,0.0,136248.0,1.0,PC DSD GIS,P,E BLANTON DR,E,BLANT,BLANTON DR,2550.0,,E131432,1003888.0,461082.0,TUCSON,85716,POINT (804094.4214367297 461040.6042275282),20151740133,201504,150000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-06-23,Tucson Unified District,804094.4214367297,461040.6042275282
112042200,2557 E BLANTON DR,135634.0,263686.0,262965.0,BLANTON,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2642852071,-110.933280986,0.0,135634.0,1.0,PC DSD GIS,P,E BLANTON DR,E,BLANT,BLANTON DR,2557.0,,E131432,1003964.0,461269.0,TUCSON,85716,POINT (804170.6147903373 461227.6002711707),20150770322,201502,160000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-03-18,Tucson Unified District,804170.6147903373,461227.60027117067
112042430,2802 E LA CIENEGA PL,138600.0,260694.0,259992.0,LA CIENEGA,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2620103948,-110.930804473,0.0,138600.0,1.0,PC DSD GIS,P,E LA CIENEGA PL,E,LA CI,LA CIENEGA PL,2802.0,,E131432,1004737.0,460448.0,TUCSON,85716,POINT (804943.6939039049 460407.0599523999),20150080455,201501,165000,Single Family,PrimaryRes,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-01-08,Tucson Unified District,804943.6939039049,460407.0599523999
112042580,2817 E GLENN ST,144611.0,254601.0,253932.0,GLENN,ST,0.0,0.0,TUC,0.0,2000-02-19,32.2579780093,-110.930354344,0.0,144611.0,1.0,PC DSD GIS,P,E GLENN ST,E,GLENN,GLENN ST,2817.0,,E131432,1004890.0,458983.0,TUCSON,85716,POINT (805096.2584421758 458941.3755245325),20150410694,201502,175500,Single Family,NonPrimary,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-02-10,Tucson Unified District,805096.2584421758,458941.37552453246
112042630,2901 E GLENN ST,144600.0,254613.0,253944.0,GLENN,ST,0.0,0.0,TUC,0.0,2000-02-19,32.2579760329,-110.929100867,0.0,144600.0,1.0,PC DSD GIS,P,E GLENN ST,E,GLENN,GLENN ST,2901.0,,E131432,1005277.0,458985.0,TUCSON,85716,POINT (805483.7516784443 458944.221058229),20151950347,201506,105500,Single Family,Rental,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-07-14,Tucson Unified District,805483.7516784443,458944.221058229
112042660,2925 E GLENN ST,144557.0,254656.0,253987.0,GLENN,ST,0.0,0.0,TUC,0.0,2000-02-19,32.257987342,-110.928383216,0.0,144557.0,1.0,PC DSD GIS,P,E GLENN ST,E,GLENN,GLENN ST,2925.0,,E131432,1005499.0,458992.0,TUCSON,85716,POINT (805705.5606494762 458950.3780953676),20151050442,201502,102000,Single Family,PrimaryRes,Warranty Deed,Other,Sale to or from a government agency,No,No,No,No,2015-04-15,Tucson Unified District,805705.5606494762,458950.3780953676
112042670,2933 E GLENN ST,144547.0,254666.0,253998.0,GLENN,ST,0.0,0.0,TUC,0.0,2000-02-19,32.2579906164,-110.928132077,0.0,144547.0,1.0,PC DSD GIS,P,E GLENN ST,E,GLENN,GLENN ST,2933.0,,E131432,1005577.0,458994.0,TUCSON,85716,POINT (805783.1843473092 458952.2845731723),20153080181,201510,60000,Single Family,Rental,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-11-04,Tucson Unified District,805783.1843473092,458952.2845731723
